Name,Assign,Status,Task type
Selfie Verification screens,Karuna Sankolli,Developed,
"Chatbot integration ",,Ready for kickoff,
,,Not started,
Repayment flow,,Deprioritised,
Loan foreclosure reasons,Karuna Sankolli,Developed,
Line enhancement nudge,,Ready for kickoff,
Bank and Mandate update,,Not started,
"CSAT ",,Not started,
Repayment summary screen,Karuna Sankolli,Developed,
User details,,Ready for kickoff,
MFC integration,Vinit Pramod Sarode,Ready for kickoff,
CKYC Flow integration,,Ready for kickoff,
"Loan account creation error handling ",,Ready for kickoff,
BFL Lender details,,Developed,
MFC front load,Vinit Pramod Sarode,Deprioritised,
"Error modal for no network ",,Not started,
MFD payout report,Vinit Pramod Sarode,Ready for kickoff,
View documents added by maker in checker,,Not started,Ad-Hoc
Document component,,Ready for kickoff,Sprint
Lodgement addition and removal maker,Karuna Sankolli,Ready for kickoff,Sprint
Lodgement Enhancement,Karuna Sankolli,Deprioritised,Sprint
View completed tasks,Karuna Sankolli,Deprioritised,
Risk Reporting,Karuna Sankolli,Deprioritised,
Batch Approval,Karuna Sankolli,Deprioritised,
"QC ops TAT ",Karuna Sankolli,Deprioritised,
QC Rejection,Karuna Sankolli,Developed,
"Makers Design ",Karuna Sankolli,Developed,
2FA Verification,,Developed,
"Foreclosure Requests  ",Karuna Sankolli,Developed,
Reason for frozen account,Karuna Sankolli,Ready for kickoff,
Virtual Account and Repayment on CC,Karuna Sankolli,Developed,
Overdue amount,,Ready for kickoff,
Makers User Detail Update,,Developed,
DSP website,Vinit Pramod Sarode,Developed,
Generic error screen,,Not started,
"FE screen revamp ",,Ready for kickoff,
User Research,Karuna Sankolli,Not started,
DS: Phase 1 screens with tokens,,Ready for kickoff,
Build version number,,Developed,
Design roadmap with KPIs,,Developed,
AI integration in design,,Deprioritised,
MFD UI screen exploration,,Deprioritised,
Autopay UI,,Not started,
Compliance changes in loan offer screen,,Ready for kickoff,
Biometrics addition of 2 screens,,Developed,
Sell off repayment + initiation maker,,Not started,
CKYC New flow,,Ready for kickoff,Sprint
Mandate update for better conversion,,Not started,
Project Elevate,,Ready for kickoff,
Project elevate V2,,Deprioritised,
Appsmith design,,Ready for kickoff,
Mandate CC change,,Ready for kickoff,
View and download statements,,Ready for kickoff,
LOS journey V2,,Deprioritised,
MFD website changes,,Not started,
Queries for MFDs,,Not started,
Onboarding MFD changes,,Developed,
Figma file arrangement,,Developed,
Components,,Not started,
Illustration system,,Not started,
Education throughout app,,Not started,
Changes in OTP component,,Developed,
Additional details,,Ready for kickoff,
Bulk sell off,,Developed,
Reduce foreclosure failure rate for BFL customers,,Developed,
Lodgement failure communication,,Not started,
Unpledge - fund level status,,Not started,
"Enhancement for MFD discoverability ",,Not started,
VKYC for TATA flow,,Deprioritised,
Redemption regret calculator,,Not started,
DSP vodka design changes,,Deprioritised,
Pre fetch optimisation,,Ready for kickoff,Sprint
Copy system for Volt,,In progress,
Dark mode updates,,Developed,
B2B Theme issues,,Not started,
Father’s name,,Ready for kickoff,
Information Architecture,,Deprioritised,
TCL Repayment schedule,,Developed,
Loan Offer page,Karuna Sankolli,In progress,
Frontend UI fixes [small],,In progress,
