PRD,PRD Owner,Status,PRD ETA,Last Edited
Suspension framework,Vaibhav Arora,Completed,"November 12, 2025","December 30, 2025 2:23 PM"
DSP Consent Architecture (Oct25),Gautam Mahesh,In progress,"October 31, 2025","January 8, 2026 7:41 PM"
Pincode addition: Account opening enhancement,Vaibhav Arora,Pending review,"July 8, 2025","July 11, 2025 5:11 PM"
LAS: Collateral management system,Vaibhav Arora,Completed,"June 27, 2025","July 28, 2025 8:43 PM"
NESL report,,,,"June 16, 2025 3:23 PM"
[Platform] Mandate collection enhancement,Vaibhav Arora,Completed,"March 20, 2025","September 18, 2025 12:41 PM"
NBFC PG Evaluation,Surya Ganesh,,,"April 8, 2025 1:06 PM"
[Platform] Disbursement optimisation to handle cross billing cycle reversals,Vaibhav Arora,Completed,,"May 6, 2025 7:03 AM"
[Platform] Foreclosure handling to support Volt foreclosure workflow,Vaibhav Arora,Completed,"March 31, 2025","May 6, 2025 7:03 AM"
"[Platform] Decoupling of dishonour fees with mandate presentation ",Vaibhav Arora,Completed,,"June 27, 2025 8:44 AM"
API flow for KFS and Agreement,Vaibhav Arora,Completed,"May 6, 2025","June 5, 2025 10:48 AM"
,,,,"May 6, 2025 7:18 AM"
Additional details enhancement,Vaibhav Arora,Completed,,"June 27, 2025 8:43 AM"
Enhancing Collections Efficiency Through Mid-Month (Second) Mandate Presentation,,,,"June 10, 2025 12:30 AM"
Dishonour charge enhancement,Vaibhav Arora,Completed,"June 16, 2025","July 4, 2025 2:02 PM"
Template (PRD),,,,"June 27, 2025 12:37 PM"
LAS LMS Product Note,Vaibhav Arora,Completed,,"March 16, 2026 4:03 PM"
Credit note PRD,Vaibhav Arora,Pending review,"July 22, 2025","August 22, 2025 11:40 AM"
Charge details on Command centre,Vaibhav Arora,Completed,"July 23, 2025","July 23, 2025 11:30 AM"
Term loan gaps,Vaibhav Arora,,,"July 24, 2025 5:10 PM"
Risk management system: LAS,Vaibhav Arora,Completed,"August 6, 2025","May 2, 2026 12:26 PM"
