User issue,Classification,Notes,PRD/Solution mapping,Platform,Reference Link/ID,Status
User was trying to repay on their Tata loan but we were unable to diagnose the error since Tata does not give us that information,Tata transaction status,Check with Tata if they can give us failure reason of payment,PRD ready,Zendesk,https://volt7307.zendesk.com/agent/tickets/13084,Solutioning pending
User had to create 3 mandates in a span of 3 months,Mandate Reuse,"Re use mandate for users so that they dont have to recreate everytime. 

Consider manual mandate set ups and respective expiry to handle",PRD ready,Zendesk,,Solutioning pending
User repaid on a working day within business hours yet the payment got settled the next day with Tata,Tata repayment settlement,Discussion in progress with Tata,PRD ready,Zendesk,https://volt7307.zendesk.com/agent/tickets/13077,Solutioning pending
Bajaj signature was not generating and user was kept in a waiting state,Bajaj agreement link generation,"Bajaj callback API for agreement link ",In Progress,Zendesk,https://volt7307.zendesk.com/agent/tickets/13058,In progress
While uploading documents in SDFC KFS got missed,Bajaj SFDC document upload,Understand why this happened? How can this be fixed? Can we check status of document upload before moving the customer forward,Pending,Zendesk,https://volt7307.zendesk.com/agent/tickets/13055,Solutioning pending
"User’s pledging failed for Karvy and when they retried, we charged the user processing fee twice without withdrawal - Tata",Karvy pledging issue,"Check with Karvy why pledging failed, we should have updated our creditapplication data automatically on pledge failure",Pending,Zendesk,https://volt7307.zendesk.com/agent/tickets/13013,Solutioning pending
"User had an existing line with Tata, when he tried to take a loan again it failed due to dedupe logic at Tata",Tata existing loan customer,To be closed and discussed with Tata,Pending,Wati,918250858364,Solutioning pending
User was unsure of the daily interest utilisation based model and thought his interest will be fixed,User education issue,Check how daily interest model can be informed to the user more effectively,Pending,Wati,919409652829,Solutioning pending
"User was given a higher sanction amount than their credit limit, was able to place a withdrawal request before lodgement was done",Sanction Amount and credit limit handling,"Sanction amount instead of credit line amount is shown to the customer before lodgement, ideally withdrawal should be blocked or better communicated, there should be a failed state for all transactions",Pending,Zendesk,https://volt7307.zendesk.com/agent/tickets/13404,Solutioning pending
"User got charged the processing fee since they did not make a withdrawal within the first month, they were not aware of this and caused an escalation",Processing fee,"User got charged fee without disbursal, can comms be changed around this? how to ensure users are not surprised by seeing the charge posted in their account?",Pending,Wati,7974504413,Solutioning pending
Repayment status tracking,,,PRD ready,Zendesk,https://volt7307.zendesk.com/agent/tickets/13892,Pending development
"Cancel unpledge request ",Cancel unpledge,"User asked to cancel unpledge request, understand why this happened? User decided to not do it?",Pending,Zendesk,https://volt7307.zendesk.com/agent/tickets/13889,Solutioning pending
Agreement link not generating for the user,Bajaj Agreement Link,"Bajaj delay in agreeement, understand why this happened",Pending,Zendesk,https://volt7307.zendesk.com/agent/tickets/13888,Solutioning pending
Agreement link not generating for the user,Bajaj Agreement Link,"Bajaj delay in agreeement, understand why this happened",Pending,Zendesk,https://volt7307.zendesk.com/agent/tickets/13886,Solutioning pending
Payment success but recon with lender failed,Tata recon,Tata recon failed (Understand APIs),Pending,Zendesk,https://volt7307.zendesk.com/agent/tickets/14361,Solutioning pending
Application of the user was already completed and when the user was trying to sign the agreement again we were showing an error to the user,Tata loan application,,Pending,Zendesk,https://volt7307.zendesk.com/agent/tickets/14323,Solutioning pending
"""""""Will i come to know the interest amt earlier for keeping balance""""”",UX issue,User wanted to see accrued interest (currently we communicate a couple days before) so that they can maintain the required balance on their bank account and avoid mandate failures (bounce charge),Pending,Wati,919821375595,Solutioning pending
"""""""Amount not yet received in account""""""",Withdrawal Status,https://app.notion.com/p/ce173cf4a6704ea19342b4008fa48b9c?pvs=21,Fixed,Wati,918486089719,Development completed
"""""""I want to loan from my Mutual Fund but how and how to repayment the loan amount, how much interest etc...""""”",UX issue,User wanted to know about the specifics of the loan before applying on the landing page,Pending,Wati,917908790799,Solutioning pending
"""""""I have a ticket open for unpledge""""”",Unpledge request status,User asked for the status of their unpledge request,PRD under progress,Wati,919437780780,PRD pending
"""Thanks a lot for the explanation. Can you also link to the documentation for this as I couldn't find it directly mentioned in the site, although LLA referenced it. My other query is : The processing fee of 999+GST will be applicable each time I make a withdrawal, or only during the creation of the credit line?""",Processing Fee,"User asked if processing fees will be charged every time they make withdrawal, how to ensure this communication is straightforward",Pending,Wati,917005467390,Solutioning pending
"""""""Ok, but 10 lac show why?""""”",Mandate amount,User was unsure as loan amount was different than mandate amount,PRD ready,Wati,919156743753,Pending development
,,,,,,
,,,,,,
,,,,,,
,,,,,,
